technology,dst_region,region,agent,sector,type,year,capacity
e_tec,Central,Central,A1,residential,retrofit,2020,41.7978
e_tec2,Central,Central,A1,residential,retrofit,2020,20.8989
e_tec,Eastern,Eastern,A1,residential,retrofit,2020,162.6785
e_tec2,Eastern,Eastern,A1,residential,retrofit,2020,81.3392
e_tec,Western,Western,A1,residential,retrofit,2020,141.983
e_tec2,Western,Western,A1,residential,retrofit,2020,70.9915
e_tec,Northwest,Northwest,A1,residential,retrofit,2020,69.1868
e_tec2,Northwest,Northwest,A1,residential,retrofit,2020,34.5934
e_tec,North,North,A1,residential,retrofit,2020,53.5576
e_tec2,North,North,A1,residential,retrofit,2020,26.7788
e_tec,Northeast,Northeast,A1,residential,retrofit,2020,150.001
e_tec2,Northeast,Northeast,A1,residential,retrofit,2020,75.0005
e_tec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,26.5659
e_tec2,BajaCalif,BajaCalif,A1,residential,retrofit,2020,13.283
e_tec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,6.8212
e_tec2,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,3.4106
e_tec,Peninsular,Peninsular,A1,residential,retrofit,2020,21.6258
e_tec2,Peninsular,Peninsular,A1,residential,retrofit,2020,10.8129
e_tec,Central,Central,A2,residential,retrofit,2020,41.7978
e_tec2,Central,Central,A2,residential,retrofit,2020,20.8989
e_tec,Eastern,Eastern,A2,residential,retrofit,2020,162.6785
e_tec2,Eastern,Eastern,A2,residential,retrofit,2020,81.3392
e_tec,Western,Western,A2,residential,retrofit,2020,141.983
e_tec2,Western,Western,A2,residential,retrofit,2020,70.9915
e_tec,Northwest,Northwest,A2,residential,retrofit,2020,69.1868
e_tec2,Northwest,Northwest,A2,residential,retrofit,2020,34.5934
e_tec,North,North,A2,residential,retrofit,2020,53.5576
e_tec2,North,North,A2,residential,retrofit,2020,26.7788
e_tec,Northeast,Northeast,A2,residential,retrofit,2020,150.001
e_tec2,Northeast,Northeast,A2,residential,retrofit,2020,75.0005
e_tec,BajaCalif,BajaCalif,A2,residential,retrofit,2020,26.5659
e_tec2,BajaCalif,BajaCalif,A2,residential,retrofit,2020,13.283
e_tec,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,6.8212
e_tec2,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,3.4106
e_tec,Peninsular,Peninsular,A2,residential,retrofit,2020,21.6258
e_tec2,Peninsular,Peninsular,A2,residential,retrofit,2020,10.8129
com_tec,Central,Central,A1,commercial,retrofit,2020,41.7978
com_tec2,Central,Central,A1,commercial,retrofit,2020,20.8989
com_tec,Eastern,Eastern,A1,commercial,retrofit,2020,162.6785
com_tec2,Eastern,Eastern,A1,commercial,retrofit,2020,81.3392
com_tec,Western,Western,A1,commercial,retrofit,2020,141.983
com_tec2,Western,Western,A1,commercial,retrofit,2020,70.9915
com_tec,Northwest,Northwest,A1,commercial,retrofit,2020,69.1868
com_tec2,Northwest,Northwest,A1,commercial,retrofit,2020,34.5934
com_tec,North,North,A1,commercial,retrofit,2020,53.5576
com_tec2,North,North,A1,commercial,retrofit,2020,26.7788
com_tec,Northeast,Northeast,A1,commercial,retrofit,2020,150.001
com_tec2,Northeast,Northeast,A1,commercial,retrofit,2020,75.0005
com_tec,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,26.5659
com_tec2,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,13.283
com_tec,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,6.8212
com_tec2,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,3.4106
com_tec,Peninsular,Peninsular,A1,commercial,retrofit,2020,21.6258
com_tec2,Peninsular,Peninsular,A1,commercial,retrofit,2020,10.8129
com_tec,Central,Central,A2,commercial,retrofit,2020,41.7978
com_tec2,Central,Central,A2,commercial,retrofit,2020,20.8989
com_tec,Eastern,Eastern,A2,commercial,retrofit,2020,162.6785
com_tec2,Eastern,Eastern,A2,commercial,retrofit,2020,81.3392
com_tec,Western,Western,A2,commercial,retrofit,2020,141.983
com_tec2,Western,Western,A2,commercial,retrofit,2020,70.9915
com_tec,Northwest,Northwest,A2,commercial,retrofit,2020,69.1868
com_tec2,Northwest,Northwest,A2,commercial,retrofit,2020,34.5934
com_tec,North,North,A2,commercial,retrofit,2020,53.5576
com_tec2,North,North,A2,commercial,retrofit,2020,26.7788
com_tec,Northeast,Northeast,A2,commercial,retrofit,2020,150.001
com_tec2,Northeast,Northeast,A2,commercial,retrofit,2020,75.0005
com_tec,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,26.5659
com_tec2,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,13.283
com_tec,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,6.8212
com_tec2,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,3.4106
com_tec,Peninsular,Peninsular,A2,commercial,retrofit,2020,21.6258
com_tec2,Peninsular,Peninsular,A2,commercial,retrofit,2020,10.8129
indr_tec,Central,Central,A1,industry,retrofit,2020,41.7978
indr_tec2,Central,Central,A1,industry,retrofit,2020,20.8989
indr_tec,Eastern,Eastern,A1,industry,retrofit,2020,162.6785
indr_tec2,Eastern,Eastern,A1,industry,retrofit,2020,81.3392
indr_tec,Western,Western,A1,industry,retrofit,2020,141.983
indr_tec2,Western,Western,A1,industry,retrofit,2020,70.9915
indr_tec,Northwest,Northwest,A1,industry,retrofit,2020,69.1868
indr_tec2,Northwest,Northwest,A1,industry,retrofit,2020,34.5934
indr_tec,North,North,A1,industry,retrofit,2020,53.5576
indr_tec2,North,North,A1,industry,retrofit,2020,26.7788
indr_tec,Northeast,Northeast,A1,industry,retrofit,2020,150.001
