ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
CC_GAS,Eastern,PJ/y,168.3817416,168.3817416,168.3817416,168.3817416,168.3817416,168.3817416,168.3817416
OC_GAS,Eastern,PJ/y,45.76945824,49.16273184,49.16273184,49.16273184,49.16273184,49.16273184,49.16273184
OC_OIL,Eastern,PJ/y,111.2829754,111.3258643,111.3258643,111.3258643,111.3258643,111.3258643,111.3258643
BIO,Eastern,PJ/y,10.31416416,10.78720416,10.78720416,10.78720416,10.78720416,10.78720416,10.78720416
ON_WIND,Eastern,PJ/y,97.47840672,97.47840672,97.47840672,97.47840672,97.47840672,97.47840672,97.47840672
OFF_WIND,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
GEOTH,Eastern,PJ/y,3.405888,3.405888,3.405888,3.405888,3.405888,3.405888,3.405888
PV_GND,Eastern,PJ/y,13.9010688,13.9010688,13.9010688,13.9010688,13.9010688,13.9010688,13.9010688
HYD_LS,Eastern,PJ/y,203.9584493,203.9584493,203.9584493,203.9584493,203.9584493,203.9584493,203.9584493
HYD_SS,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
CC_OIL,Eastern,PJ/y,0.7631712,0.7631712,0.7631712,0.7631712,0.7631712,0.7631712,0.7631712
FB,Eastern,PJ/y,0,0,0,0,0,0,0
COAL,Eastern,PJ/y,87.61836096,87.61836096,87.61836096,87.61836096,87.61836096,87.61836096,87.61836096
NUCL,Eastern,PJ/y,51.529824,51.529824,51.529824,51.529824,51.529824,51.529824,51.529824
BIO_CCS,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
COAL_CCS,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
GAS_CC_CCS,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
FC_H2,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
C_H2,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
PV_SSG,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
CSP,Eastern,PJ/y,0,0,0.1,0.1,0.1,0.1,0.1
CC_GAS,BajaCalif,PJ/y,118.0401941,118.0401941,118.0401941,118.0401941,118.0401941,118.0401941,118.0401941
OC_GAS,BajaCalif,PJ/y,19.28647152,19.28647152,19.28647152,19.28647152,19.28647152,19.28647152,19.28647152
OC_OIL,BajaCalif,PJ/y,3.22487136,3.22487136,3.22487136,3.22487136,3.22487136,3.22487136,3.22487136
